City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Savannah Bight,HN,82.0,few clouds,16.45,-85.85,Villa on Dunbar Rock
431,Bellmead,US,84.79,clear sky,31.594,-97.1089,Hampton Inn Waco
433,Dakoro,NE,78.62,overcast clouds,14.5106,6.765,Shagon mai liverpool
436,Tuscaloosa,US,80.17,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
440,Green River,US,80.19,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
442,Port Blair,IN,84.36,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
443,Naze,JP,76.03,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
444,Cabedelo,BR,75.24,broken clouds,-6.9811,-34.8339,Hotel Pigalle
445,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
446,Atlantic City,US,79.05,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
448,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
450,Kavaratti,IN,81.5,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
451,Solnechnyy,RU,87.58,light rain,50.7214,136.6319,Hotel complex Pastoral
453,Filadelfia,US,79.02,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
454,Mombetsu,JP,78.44,few clouds,44.3525,143.3525,Okhotsk Palace Hotel
457,Boca Do Acre,BR,76.87,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
461,Basco,PH,82.4,broken clouds,20.4487,121.9702,Nathaniel's Lodge
462,Mahina,PF,78.57,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
463,Eyl,SO,79.14,overcast clouds,7.9803,49.8164,Amiin Hotel
464,Tautira,PF,78.82,clear sky,-17.7333,-149.15,Pension Oaoa
471,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
474,Bayan,CN,86.36,overcast clouds,46.0833,127.4,Wanhao Inn
475,Bontang,ID,83.8,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
476,Kavieng,PG,83.43,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
479,Mehriz,IR,81.1,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
480,Karratha,AU,80.73,broken clouds,-20.7377,116.8463,ibis Styles Karratha
487,Vanavara,RU,84.04,broken clouds,60.34,102.2797,
488,Beruwala,LK,79.88,light rain,6.4788,79.9828,The Palms Hotel
489,Pontianak,ID,87.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
490,Marsh Harbour,BS,82.18,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
491,Severo-Yeniseyskiy,RU,81.54,scattered clouds,60.3725,93.0408,Aktolik
493,Abu Samrah,SY,79.02,clear sky,35.3029,37.1841,
500,Besikduzu,TR,76.89,scattered clouds,41.052,39.2284,YKT
505,Gewane,ET,75.9,light rain,10.1664,40.6453,
507,San Andres,CO,80.76,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
508,Badiraguato,MX,83.25,overcast clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
509,Kulhudhuffushi,MV,82.33,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
511,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
516,Marsa Matruh,EG,76.35,clear sky,31.3525,27.2453,Beau Site
517,Aswan,EG,83.37,clear sky,24.0934,32.907,Nuba Nile
522,Acarau,BR,77.0,few clouds,-2.8856,-40.12,castelo pizzaria
523,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
524,Nabire,ID,87.76,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
527,Marawi,PH,85.64,broken clouds,7.9986,124.2928,Derogongan Residence
528,Teguldet,RU,79.56,overcast clouds,57.3064,88.1667,
534,Tono,JP,83.3,broken clouds,39.3167,141.5333,Aeria Tono
535,Sahuaripa,MX,82.27,broken clouds,29.05,-109.2333,Estatua de Sahuaripa
539,Uwajima,JP,83.48,scattered clouds,33.2238,132.56,Uwajima Oriental Hotel
543,Avera,US,80.71,broken clouds,33.194,-82.5271,
545,Labuhan,ID,85.93,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
546,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
547,Auki,SB,81.72,overcast clouds,-8.7676,160.7034,Auki Motel
